,anonymisation,occupation,job_title,company_name,gender
0,penacolleen,Statisticienne IVIDATA STATS,Statisticienne (non clinique) chez Sanofi [IVIDATA STATS],Sanofi,female
1,kwelch,Data Consultant,Data Engineer,,male
2,wongkevin,DATA ANALYST 💻📈 (D&A) & Superviseur Audit Financier,Financial Auditor and Data Analyst  specialized in Business Intelligence and Digital Transformation,,female
3,xeaton,Market Analyst,I am intent on providing my data analysis skills acquired from previous experience  but now I desire to embark on a profesional oportunity that allows me to work on public or private sectors that boast innovation.,,male
4,xperez,MDM Team Lead (e-Retail),Business & Data Analysis | Project Management | MDM (Semarchy xDM Certified),,male
5,wallacealexis,Directeur Technique pour BNP Paribas,Technical Director for Financial Sector in IBM |Data science PhD | Data Researcher,,female
6,tyronefrench,Consultante SEA,SEA Consultant at JVWEB,JVWEB,female
7,pamela69,Ingénieur de Recherche numéricien,Scientific programmer  Data engineer  Data scientist,CIRAD,male
8,melissa47,Directeur régional,Area Rental Manager chez Enterprise Rent-A-Car,Enterprise Rent-A-Car,male
9,erica21,CTO,CTO @Aviitam,Aviitam,male
10,hrobertson,Head of Data Factory at UCI Occitanie (Intervention),Head of Data Analysis & Automation at Orange/ UCI Occitanie,Orange,female
11,novakerin,Gérant,Founder | Wanimalz | Spécialiste des harnais en Y pour chiens | Bien-être canin | BtoC & Partenaires BtoB | Confort & sécurité pour vos clients,,male
12,brandon07,CRM Administrator,Salesforce Administrator at Teads,,female
13,nathan94,Ingénieur Décisionnel,Actuellement en Master 2 Consulting et Management des Systèmes d'Information à l'IAE Montpellier  je suis à la recherche d'un contrat en alternance ou un stage,,male
14,jason18,,Data Scientist | IA | Data Analyst,,male
15,bakerstacey,Directeur du développement,Directeur du développement @ZQSD Productions / @MandatoryGG,,male
16,douglas87,Support niveau 3 - SAP  S/4HANA 2021,Freelance SAP IS-Retail SD MM consultant +33 (0)6101607000,GEMO,male
17,ewhite,Product Owner,Etudiante en Kinésithérapie,,female
18,nancyedwards,Formateur,Architecte SI - Chef de projet - Datamanager - DataScientist - Webmaster - Formateur/Enseignant - Coordinateur Pédagogique - Ecrivain/Journaliste - Photographe - Film maker -  Herbalist - Clown en milieu de soin,IRD,male
19,laurie90,Ingénieur logiciel,Ingénieur logiciel,,female
20,mossmary,EMEA CSB Online & Retail Business Analyst ,EMEA CSB Online & Retail Business Analyst at Dell,,male
21,lpena,Scientific Data Analysis and Visualization,Scientific Editing and Visual Communication (English  French  German),,female
22,wallsangela,Formation Big data et l'intelligence Artificielle,Data Analyst,M2i Formation,male
23,hartstephanie,Owner,🟣 Solving biotechs' communication challenges 🟣 Owner @Biopixia,,female
24,ecummings,Global MDM Deployment Functional Expert,Global MDM Deployment Functional Expert @ Royal Canin,,male
25,kathleen26,Cofounder & CTO,CTO @Bubblemaps,,male
26,leslieking,Chargée d'écoute client,Chargée d'activités Écoute et Expérience Client,,female
27,melissataylor,International Nutrition Consultant,Food and health engineer with specialization in Nutrition in developing countries,,female
28,sparks,Technical Project Manager,Technical Project Manager at NotaSolutions,NotaSolutions,male
29,xnguyen,Consultant Data,Consultant Data chez Synchrone,Synchrone Fr,male
30,bwilliams,Human Resources Executive,HR technician with french,,female
31,lgarcia,Data Engineer,Data Engineer - CHANEL,,male
32,thompsonbarbara,Data-analyst,Data Analyst chez Sanofi,,male
33,hayesmichelle,Graphist,Graduate in Cognitive Psychology • Graduate from a program by HEC.,,female
34,blake04,Digital Program Lead for R&D Clinical Development,Digital Program Lead - R&D Clinical,,female
35,ssanchez,Doctoral Student,Doctoral Student at Montpellier Institute of Neuroscience (INM),Institut des Neurosciences de Montpellier,male
36,rjohnson,Software Development Engineer,Software Engineer chez Taïga,,male
37,michelle41,Employée polyvalente ,Étudiante en Master 2 Marketing-Vente et Data-analytics,,female
38,larryfoster,Co-founder  Chief Operating Officer ,Project Director | AI & Digital Transformation Consultant | PMO & IT Strategy,,male
39,frank59,Responsable d'application SAP,Responsable d'application SAP chez UGAP,UGAP,male
40,wperry,Avocat - Fondateur,Avocat - Associé-gérant de R&C Avocats Associés - Pôle Banque Consommation Immobilier,Institut National de la Consommation,male
41,aaron76,Analyste de données,En recherche active dans les domaines data / business intelligence  disponible et mobile en France et à l'étranger,,male
42,april60,Junior FP&A Analyst,Junior FP&A Analyst Sim&Cure | Msc Corporate Finance,,female
43,michael42,Quality Assurance and Test Lead,Health IT application functional specialist / Health data analyst (Epidemiologist) / Health practitioner (Dietician),,female
44,kelly19,Hospital engineer - Bioinformatician/developer,Hospital engineer - Bioinformatician,,male
45,dennisadams,Chargé d'étude en analyse d'images biologiques,Ingénieur en analyse d'images biologiques,Institut de Génétique Humaine (UMR 9002 CNRS...,male
46,arianawagner,Semanticist Advisor,Head of Machine Learning,,male
47,joneskaren,Regional master data administrator,Regional master data administrator @Royal Canin,,male
48,debracooper,Directrice du developpement Banque de Detail,Directrice du développement de la Banque De Détails chez Caisse d'Epargne Languedoc Roussillon,Caisse d'Epargne Languedoc-Roussillon,female
49,rickrichardson,Responsable d’exploitation,Responsable d’Exploitation,,male
50,morriselizabeth,Ingénieur gestion d’actifs,Ingénieur gestion d'actifs EDF Renouvelables,,male
51,ugarza,Online Map Analyst,Data Analyst - Python  SQL  Tableau  Machine Learning,,male
52,ashley67,CEO ,Epidemiology|Biostatistic|Data Science|Advanced Statistical Modeling|Research|M&E|Management,,male
53,tony37,Data Scientist & data analyst,Data Analyst,,female
54,james34,Étudiant en M1 Marketing et Data Analytics à l’Institut Montpellier Management. Recherche un stage d'une durée de 2/4 mois à partir du 20 mars dans la data/marketing.,Data science/analyse,CONNECTING SELL,male
55,edward68,Software Engineer,Software engineer |Certified Dynamics 365 | Certified Power BI | Certified Power Platform | Certified Azure,,female
56,rfletcher,Environmental Affairs Officer,Environnemental Engineer & IT Consultant,,male
57,dayheidi,Auditeur agriculture biologique ,Ingénieur agronome,,male
58,whitedavid,Data scientist,Data scientist @ Mars,,male
59,jaustin,Senior Engineering Manager,Engineering Manager at Algolia,,male
60,danaallen,Administrateur Système @ Région Occitanie,System Administrator,Atos,male
61,rickymccall,Ingé Production,IT System  Infra,Atos,male
62,michaelpatton,Product owner / Data analyst O&M,Product owner / Data analyst O&M at Groupe VALECO,,male
63,logan76,"Ingénieur ""appui méthodologique et statistique""","Ingénieur ""appui méthodologique et statistique"" chez Centre d'Ecologie Fonctionnelle et Evolutive",,male
64,sarahwashington,Chargé d'études techniques,Chargé d'études techniques chez WTW,,male
65,angela48,Expert technique Salesforce,Salesforce Technical Expert chez CGI - 5x certified,,male
66,stephenburke,Regional HR Analytics & Insights Partner | Global HR Project & Employee Research Data Analyst Lead,Organizational Psychology  Behavioral Research  People Insights & Analytics | Business and Talent & Culture Strategy Partner - Bringing Science and Robustness to HR decision-making,,male
67,dudleymichael,Vérificatrice des juridictions financières,Vérificatrice,,female
68,mitchelldavis,,Statistical analysis in evolutionary biology,,female
69,kevin17,Data analyst Audit Interne,Operational Marketing Trainee,L'Oréal,female
70,susan24,Lab Manager,Lab Manager 🧪🔬,,male
71,brian45,Data and Customer Experience Manager,Data and Customer Experience Manager | Orange Graduate Program,,female
72,mitchell62,Data Scientist Fraud,Data Scientist @ Free mobile,Free Mobile,male
73,nicolemurphy,Ingénieur BI/Data analyst ,Data scientist,,female
74,catherine28,Senior Product Data Analyst,Data analyst 🔗 Business I Product | Pricing,Teads,female
75,dylansmith,Analyste Développeuse Data,Architecte - Infographiste - Intégrateur/Développeur,Acelys Services Numériques,female
76,kevinfritz,D2C Delivery Lead,Direct-to-Consumer Delivery Lead at Royal Canin (a Mars Company),,male
77,jonesbeth,Administrateur système,System administrator,Thales,male
78,gwalsh,,--,ADP,male
79,kellynolan,Data Scientist,#Biodiversity; #Data science; #Ecology; #Evolution,,female
80,michelle78,,Data Scientist en alternance | SNCF Voyageurs,,male
81,greenethomas,Consultant Salesforce,Consultant Salesforce - CGI Shapsha,,male
82,allisonharrison,Hackatons  Bootcamp Product Owner,PRODUCT OWNER/ DATA/ BI,,female
83,wayne86,Water treatment expert ,Water treatment expert,,male
84,xrandall,Data analyst and project manager recruitment,Data & Project Manager recruitment,,female
85,hopatricia,PHD Scholar,Ph. D. researcher of University of Montpellier-LIRMM  Machine Learning Engineer  AWS Nanodegree Graduate  CS M.Sc. graduate of Sharif University  Deep learning researcher (NLP  Graph),,female
86,michelle21,Data Analyst for network programs,Big Data analyst for network programs at Orange,,male
87,lisajohnson,Sanofi,Ingénieur en performance industrielle chez Sanofi,,male
88,edyer,Responsable des relations institutionnelles - pôle Santé,Responsable des relations institutionnelles - pôle Santé,,male
89,emoore,Entrepreneurship,Generalist engineer | Centrale Méditerranée,,male
90,hectorelliott,Consultant data,Étudiant(e) à EPF Ecole d'Ingénieur-e-s - Data Engineering,,male
91,ginaruiz,Ingénieur système infrastructure sécurité ,Ingénieur système infrastructure,CDC Habitat,male
92,christopherpeterson,Achats indirects,Ingénieure acheteuse - Spécialité Génie des Systèmes Industriels,,female
93,mendozacassandra,,Ph.D student in animal genetics and evolution,,undetermined
94,grahamvanessa,Ingénieur d’études,Data scientist / Hydraulic Engineer,,male
95,manningjames,Chef Projets SI Métiers ,Chef Projets SI Métiers,,male
96,dustin54,Manager,Manager chez Apple Retail,,female
97,tuckerteresa,Product Owner - Responsable produit Ident / Authent Client,Product Owner / Responsable Produit chez Crédit Agricole Technologies et Services,Crédit Agricole Technologies et Services,female
98,madelinebrown,Consultante BI,Data Analyst,,female
99,macktina,Data consultant,Consultant Data Engineer chez Next Decision,,male
100,david69,Data Scientist,Auditeur chez Crédit Agricole du Languedoc,,male
101,jwalker,Data Specialist  Consultant and Trainer,Tech Career Coach | Helping Professionals Transition & Thrive in Tech | Host (The iConversations) | TopWomenTech,,male
102,christopher98,Data-analyst,--,,male
103,mevans,,Ingénieure Statisticienne / Chargée d'Etudes Actuarielles,AG2R LA MONDIALE,female
104,gabriel88,Global Business Insight Manager,Global Business Insight chez Royal Canin  Mars,,female
